,FNL_01d15h,FNL_02d15h,FNL_03d15h,FNL_05d15h,FNL_07d15h,FNL_10d15h,FNL_20d15h,FNL_30d15h,FNL_60d15h,FNL_average,ERA_01d15h,ERA_02d15h,ERA_03d15h,ERA_05d15h,ERA_07d15h,ERA_10d15h,ERA_20d15h,ERA_30d15h,ERA_60d15h,ERA_average,GPV_01d15h,GPV_02d15h,GPV_03d15h,GPV_05d15h,GPV_07d15h,GPV_10d15h,GPV_20d15h,GPV_30d15h,GPV_60d15h,GPV_average,Obs.
count,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0
mean,22.478532708333336,22.441966180555543,22.507450138888885,23.333763888888882,23.46007215277778,23.217342638888894,23.127898333333327,23.193853958333325,23.453209305555557,23.02378770061729,22.657782222222245,22.752007291666658,22.757452152777773,23.057243888888895,22.451676250000006,22.452626180555544,22.81257875,22.526502430555546,22.495400902777778,22.662585563271602,22.643760486111105,22.801208194444442,23.716483263888886,23.387786111111105,23.37457055555555,23.227269027777787,23.663804305555562,23.52738027777778,23.286532430555567,23.29208829475308,22.12500000000001
std,2.544709236073123,2.620943809420621,2.1623578448398075,1.0862628244563963,1.0943453292977414,0.9426406082869799,1.0954734879157912,1.1554497916908204,1.1324881201392192,1.4475363440002842,2.3975656258045386,2.332578867887256,1.2228376529358778,1.2253573121889292,1.2542253395743455,1.4723416041613573,1.2953343782435285,1.237522459153237,1.3489111623983747,1.4819727053694702,2.7039194982906882,2.1008733826533157,1.3863316721827377,1.0295695899629818,1.200483314089798,1.0434774476582027,1.328575807842458,1.0531101446139484,0.9714924902853846,1.3445769199213684,2.8628972310503134
min,18.32812,18.42098,18.97738,21.89272,21.84103,21.74883,21.22756,21.21801,21.61651,20.988016666666667,18.69872,19.00964,20.79891,21.15457,20.70663,19.91674,20.57943,20.74297,20.44833,20.625875555555556,18.42175,18.85256,20.96157,22.01302,20.97421,20.97933,21.33444,21.69299,21.63412,21.35701111111111,17.2
25%,19.6092875,19.634817499999997,20.039347499999998,22.404765,22.619805,22.512880000000003,22.3029325,22.2343975,22.5231075,21.63264,19.8778125,20.451165,21.5594575,22.121859999999998,21.2961175,21.092502500000002,21.532335,21.3511475,21.31916,21.165287777777777,19.8326175,21.3358225,22.6645425,22.4888725,22.376465,22.4967925,22.6345,22.65456,22.436452499999998,21.995158055555557,19.575000000000003
50%,22.91917,22.582864999999998,22.929695000000002,22.89646,22.921975,22.851205,22.891185,22.759990000000002,23.026865,22.798460555555558,23.129375000000003,22.9279,22.593695,22.514445000000002,22.310755,22.268165,22.5227,22.317715,22.322274999999998,22.485524444444444,22.843105,22.97306,23.397545,23.071325,23.272105,23.065150000000003,23.25364,23.238735,23.04508,22.949918888888888,22.4
75%,24.998705,25.016475,24.61167,24.07416,24.322525,23.8976725,24.159985,24.300272500000002,24.4557025,24.44407222222222,24.97003,25.0947,23.98498,24.0729175,23.7045875,23.754705,24.0396225,23.767045,23.594459999999998,24.17491111111111,25.21213,24.7460825,25.1494475,24.01852,24.5261375,24.3279925,24.9890125,24.653455,24.329372499999998,24.741276388888885,25.0
max,25.75619,26.08251,25.42022,25.49767,25.61007,25.26724,25.09765,25.23733,25.40707,25.348169999999996,25.86938,25.95767,24.66934,25.48721,24.58468,24.99801,25.16528,24.76736,24.94079,24.98862777777778,26.38647,25.58486,25.82095,25.72338,25.29431,24.89889,25.77975,25.26736,24.89468,25.416045555555556,26.8
std_ratio,0.8888580450858669,0.9154865151967307,0.755304040042856,0.37942780923990005,0.38225099994115336,0.32926107094006746,0.3826450618047138,0.40359457515941627,0.39557414351326275,0.5056193873467213,0.8374612961307527,0.8147616486504131,0.42713291964282435,0.42801302781636397,0.4380965289187858,0.5142837780527658,0.45245577249320545,0.43226227114664056,0.4711699560041485,0.5176478880542205,0.9444696334065401,0.7338277322244524,0.48424080932661806,0.35962506051440163,0.41932462718872227,0.36448302661405046,0.4640668877083801,0.3678476940045777,0.33933893251521724,0.46965602025053566,1.0
correlation,0.9813640512740773,0.9862720729455766,0.9696431187148096,0.8670083504624959,0.7732644745584454,0.6806042705196109,0.8370039099046804,0.8392711819526038,0.8555821865192995,0.9567317449031275,0.9824461064730965,0.9794720876569148,0.9351538009403562,0.8123791407117675,0.9144076406532244,0.9456759777634128,0.9320273663836903,0.9263138752364235,0.9175678302211997,0.9679096414469437,0.9851788820800043,0.9407859557295234,0.7433546008911834,0.7693541961680669,0.7977734725772286,0.723817343843872,0.7347041024682516,0.8266697813150476,0.8251671585353445,0.8944808880813873,1.0
bias,0.35353270833332573,0.31696618055553216,0.38245013888887414,1.2087638888888712,1.3350721527777694,1.0923426388888835,1.0028983333333166,1.0688539583333139,1.3282093055555464,0.8987877006172802,0.5327822222222345,0.6270072916666471,0.6324521527777627,0.932243888888884,0.3266762499999949,0.3276261805555336,0.6875787499999895,0.40150243055553503,0.37040090277776727,0.5375855632715911,0.5187604861110948,0.6762081944444311,1.5914832638888754,1.2627861111110938,1.2495705555555396,1.1022690277777762,1.5388043055555514,1.4023802777777696,1.1615324305555568,1.1670882947530679,0.0
rmse,0.7055237291785643,0.604172012579222,1.0064187309679085,2.333390337182263,2.5161314501444982,2.5699209537484373,2.269796810964034,2.263003797917928,2.3864026658477555,1.7803611596918765,0.8610282733259498,0.9739321231599847,1.8825052147683046,2.2061257084448096,1.8191258121905085,1.5808077208615274,1.8531482712670353,1.8235055354882388,1.7510062156956672,1.5710673422411905,0.7237735853329371,1.3229639542026248,2.5981296280972064,2.5130459545456647,2.3906265443620294,2.4850360561396054,2.596190890287901,2.507421440703577,2.4288039765139278,2.1165441508196445,0.0
centered rmse,0.6105557767907255,0.5143503292193468,0.930919198054764,1.99589587067406,2.1327212244650164,2.3262160836389496,2.0362152381464296,1.9946772684186613,1.9826189054381849,1.5368365326730427,0.6763969183479603,0.7452554171019142,1.7730849269216116,1.999477925132066,1.7895533935213315,1.5464844441991628,1.7208701223068634,1.7787546869127937,1.7113812955113976,1.4762297775139042,0.5047135433842231,1.137091070181113,2.053645194564557,2.172733579443925,2.038055127148653,2.2271971602702174,2.0910017809694885,2.0785792835010937,2.1330567664967477,1.7656908151256796,0.0
